A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A11,B71,CW7,DQ8,DR4,NA,NA,DR53,6.01993e-5
A11,B8,CW1,DQ2,DR17,NA,DR52,NA,6.01993e-5
A11,B8,CW6,DQ2,DR17,NA,DR52,NA,6.01993e-5
A11,B8,CW7,DQ2,DR17,NA,DR52,NA,0.001043454
A11,B8,CW7,DQ6,DR13,NA,DR52,NA,1.10365e-4
A11,B8,CW7,DQ6,DR15,DR51,NA,NA,6.01993e-5
A11,B8,CW7,DQ9,DR7,NA,NA,DR53,1.30432e-4
A19,B44,CW4,DQ2,DR7,NA,NA,DR53,1.90631e-4
A2,B12,CW5,DQ7,DR4,NA,NA,DR53,6.01993e-5
A2,B13,CW10,DQ2,DR7,NA,NA,DR53,6.01993e-5
A2,B13,CW16,DQ5,DR10,NA,NA,NA,6.01993e-5
A2,B13,CW6,DQ2,DR17,NA,DR52,NA,1.40465e-4
A2,B13,CW6,DQ2,DR7,NA,NA,DR53,0.006451354
A2,B13,CW6,DQ4,DR8,NA,NA,DR53,2.00664e-5
A2,B13,CW6,DQ5,DR1,NA,NA,NA,4.01328e-4
A2,B13,CW6,DQ5,DR14,NA,DR52,NA,1.30432e-4
A2,B13,CW6,DQ6,DR13,NA,DR52,NA,1.10365e-4
A2,B13,CW6,DQ6,DR15,DR51,NA,NA,5.81926e-4
A2,B13,CW6,DQ7,DR11,NA,DR52,NA,9.02989e-5
A2,B13,CW6,DQ7,DR13,NA,DR52,NA,6.01993e-5
A2,B13,CW6,DQ8,DR4,NA,NA,DR53,1.30432e-4
A2,B13,CW6,DQ9,DR7,NA,NA,DR53,6.01993e-5
A2,B15,CW1,DQ4,DR8,NA,NA,DR53,6.01993e-5
A2,B15,CW1,DQ6,DR15,DR51,NA,NA,1.20399e-4
A2,B15,CW1,DQ7,DR11,NA,DR52,NA,2.40797e-4
A2,B15,CW1,DQ9,DR9,NA,NA,DR53,3.1103e-4
A2,B15,CW10,DQ2,DR17,NA,DR52,NA,2.90963e-4
A2,B15,CW10,DQ2,DR7,NA,NA,DR53,3.41129e-4
A2,B15,CW10,DQ4,DR4,NA,NA,DR53,6.01993e-5
A2,B15,CW10,DQ4,DR8,NA,NA,DR53,3.51162e-4
A2,B15,CW10,DQ5,DR1,NA,NA,NA,0.001334417
A2,B15,CW10,DQ5,DR10,NA,NA,NA,6.01993e-5
A2,B15,CW10,DQ6,DR13,NA,DR52,NA,6.42125e-4
A2,B15,CW10,DQ6,DR15,DR51,NA,NA,9.02989e-4
A2,B15,CW10,DQ7,DR103,NA,NA,NA,4.01328e-5
A2,B15,CW10,DQ7,DR11,NA,DR52,NA,3.61196e-4
A2,B15,CW10,DQ7,DR12,NA,DR52,NA,1.30432e-4
A2,B15,CW10,DQ7,DR4,NA,NA,DR53,2.8093e-4
A2,B15,CW10,DQ8,DR4,NA,NA,DR53,0.012521446
A2,B15,CW10,DQ9,DR7,NA,NA,DR53,3.00996e-5
A2,B15,CW12,DQ5,DR16,DR51,NA,NA,6.01993e-5
A2,B15,CW2,DQ4,DR4,NA,NA,DR53,2.00664e-5
A2,B15,CW2,DQ5,DR1,NA,NA,NA,6.01993e-5
A2,B15,CW2,DQ5,DR103,NA,NA,NA,6.01993e-5
A2,B15,CW2,DQ5,DR13,NA,DR52,NA,2.00664e-5
A2,B15,CW2,DQ6,DR11,NA,DR52,NA,2.00664e-5
